tutor_id,first_name,last_name,email,phone_number,subject_taught,years_experience,cost
1,Felita,Lewsy,flewsy0@miitbeian.gov.cn,787-602-3933,History,23,"€15,26"
2,Kelcy,Millwater,kmillwater1@nyu.edu,592-973-6165,Music,10,"€21,86"
3,Bobbi,Dormand,bdormand2@slashdot.org,183-432-5358,Math,13,"€34,80"
4,Abraham,Vickerstaff,avickerstaff3@yale.edu,536-704-8618,Physics,18,"€11,64"
5,Juliane,Anderl,janderl4@wunderground.com,544-395-6447,Biology,18,"€10,27"
6,Grace,Giacomazzo,ggiacomazzo5@geocities.jp,420-625-7685,History,5,"€27,46"
7,Norry,Gradly,ngradly6@ameblo.jp,487-163-5118,Biology,13,"€35,10"
8,Kelcy,Paskins,kpaskins7@cbslocal.com,587-567-6971,Geography,18,"€16,27"
9,Moyna,Hoggan,mhoggan8@amazon.de,598-394-8480,Math,3,"€13,74"
10,Godfrey,Folcarelli,gfolcarelli9@ucoz.ru,814-731-6467,Physics,9,"€22,32"
11,Timmy,Dobrowski,tdobrowskia@comsenz.com,411-629-2428,Chemistry,27,"€20,66"
12,Jo-ann,Morales,jmoralesb@sciencedaily.com,916-273-2026,Physics,17,"€17,79"
13,Alaric,Swainston,aswainstonc@ftc.gov,577-573-1573,English,6,"€37,51"
14,Jeannine,Masterson,jmastersond@mapquest.com,169-266-0344,Math,16,"€39,07"
15,Leese,Kettleson,lkettlesone@deliciousdays.com,711-338-1481,Chemistry,20,"€37,67"
16,Crosby,Fisk,cfiskf@house.gov,770-831-8204,Biology,25,"€28,54"
17,Janna,Luard,jluardg@sina.com.cn,400-448-9607,English,16,"€17,05"
18,Marco,Mitskevich,mmitskevichh@earthlink.net,121-633-5337,Chemistry,24,"€30,64"
19,Jess,Klais,jklaisi@prnewswire.com,213-659-1721,Physics,25,"€31,96"
20,Joelie,Poile,jpoilej@webmd.com,465-850-6096,Biology,14,"€12,12"
21,Jenine,Tilt,jtiltk@paypal.com,329-802-9719,Geography,9,"€35,53"
22,Isabelle,Standall,istandalll@yellowpages.com,281-463-7648,English,24,"€31,32"
